"trials","trial_all","w1","w2","w3","w4","w5","correct","task","trialBlock.thisRepN","trialBlock.thisTrialN","trialBlock.thisN","trialBlock.thisIndex","word_1.started","word_2.started","word_3.started","word_4.started","word_5.started","SAW_choice.x","SAW_choice.y","SAW_choice.leftButton","SAW_choice.midButton","SAW_choice.rightButton","SAW_choice.time","SAW_choice.clicked_name","feedbackText.started","choice_correct","feedbackText.stopped","participant","date","expName","psychopyVersion","frameRate","X"
1,1,"Bamu","Paum","Buma","Baum","Baun","word_4","practice",0,0,0,0,71.6626067980542,71.6626067980542,71.6626067980542,71.6626067980542,71.6626067980542,"[-0.025]","[-0.1375]","[1]","[0]","[0]","[18.01673681498505]","['word_4']",89.6804706475232,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
2,2,"Purk","Brug","Lurk","Krub","Burg","word_5","practice",0,1,1,1,91.2000499051064,91.2000499051064,91.2000499051064,91.2000499051064,91.2000499051064,"[0.003125]","[-0.29375]","[1]","[0]","[0]","[2.8727368303807452]","['word_5']",94.0573276966461,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
3,3,"Maschine","Mischane","Schamire","Meschina","Manischa","word_1","practice",0,2,2,2,95.5919490480446,95.5919490480446,95.5919490480446,95.5919490480446,95.5919490480446,"[0.028125]","[0.303125]","[1]","[0]","[0]","[4.324721921700984]","['word_1']",99.8850213139085,1,100.886783067021,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
1,4,"siziol","salzahl","sozihl","sziam","sozial","word_5","main",0,3,3,3,107.798771423346,107.798771423346,107.798771423346,107.798771423346,107.798771423346,"[-0.0046875]","[-0.3171875]","[1]","[0]","[0]","[2.18696969805751]","['word_5']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
2,5,"Lamone","Talane","Matrone","Tarone","Malonte","word_3","main",0,4,4,4,111.45578025328,111.45578025328,111.45578025328,111.45578025328,111.45578025328,"[0.0421875]","[-0.0140625]","[1]","[0]","[0]","[10.853649086842779]","['word_3']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
3,6,"kurinesisch","kulinarisch","kumenisch","kulissarisch","kannastrisch","word_2","main",0,5,5,5,123.796308561112,123.796308561112,123.796308561112,123.796308561112,123.796308561112,"[0.05]","[0.1390625]","[1]","[0]","[0]","[2.671024918265175]","['word_2']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
4,7,"Tinxur","Kukutur","Fraktan","Tinktur","Rimsuhr","word_4","main",0,6,6,6,127.953975683136,127.953975683136,127.953975683136,127.953975683136,127.953975683136,"[0.0234375]","[-0.0171875]","[1]","[0]","[0]","[10.203216442256235]","['word_3']",NA,0,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
5,8,"beralen","gerältet","anälteren","untären","verbrämen","word_5","main",0,7,7,7,139.659796909255,139.659796909255,139.659796909255,139.659796909255,139.659796909255,"[0.00625]","[0.296875]","[1]","[0]","[0]","[13.491567286779173]","['word_1']",NA,0,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
6,9,"Rosto","Torso","Soro","Torgos","Tosor","word_2","main",0,8,8,8,154.622063704708,154.622063704708,154.622063704708,154.622063704708,154.622063704708,"[0.015625]","[0.1515625]","[1]","[0]","[0]","[2.88852910452988]","['word_2']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
7,10,"Redor","Radium","Terion","Dramin","Orakium","word_2","main",0,9,9,9,158.996808766853,158.996808766853,158.996808766853,158.996808766853,158.996808766853,"[0.04375]","[0.140625]","[1]","[0]","[0]","[6.145266214618459]","['word_2']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
8,11,"Nale","Sahe","Nase","Nesa","Sehna","word_3","main",0,10,10,10,166.628229359514,166.628229359514,166.628229359514,166.628229359514,166.628229359514,"[-0.04375]","[0.0]","[1]","[0]","[0]","[3.2062139562913217]","['word_3']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
9,12,"Rilkiase","Kilister","Riliker","Klistier","Linkure","word_4","main",0,11,11,11,171.320682686521,171.320682686521,171.320682686521,171.320682686521,171.320682686521,"[-0.00625, 0.0]","[0.18125, 0.1625]","[1, 1]","[0, 0]","[0, 0]","[13.459645013033878, 13.976928827818483]","['word_2']",NA,0,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
10,13,"kentern","knerte","kanzen","kretern","trekern","word_1","main",0,12,12,12,186.783616754401,186.783616754401,186.783616754401,186.783616754401,186.783616754401,"[0.034375]","[0.2921875]","[1]","[0]","[0]","[2.655222701607272]","['word_1']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
11,14,"Sorekin","Rimsuhr","Rosakin","Narosin","Kerosin","word_5","main",0,13,13,13,190.924946045678,190.924946045678,190.924946045678,190.924946045678,190.924946045678,"[0.009375]","[-0.3203125]","[1]","[0]","[0]","[4.975675426889211]","['word_5']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
12,15,"Ralke","Korre","Ruckse","Recke","Ulte","word_4","main",0,14,14,14,197.387173552066,197.387173552066,197.387173552066,197.387173552066,197.387173552066,"[0.01875]","[-0.1640625]","[1]","[0]","[0]","[7.146121593366843]","['word_4']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
13,16,"Kapaun","Paukan","Naupack","Aupeck","Ankepran","word_1","main",0,15,15,15,206.020483867906,206.020483867906,206.020483867906,206.020483867906,206.020483867906,"[0.0203125]","[0.134375]","[1]","[0]","[0]","[10.921089945593849]","['word_2']",NA,0,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
14,17,"Dissonanz","Diskrisanz","Distranz","Dinotanz","Dinotanz","word_1","main",0,16,16,16,218.427749038849,218.427749038849,218.427749038849,218.427749038849,218.427749038849,"[-0.0125]","[0.2828125]","[1]","[0]","[0]","[11.655876343080308]","['word_1']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
15,18,"Kirse","Sirke","Krise","Krospe","Seris","word_3","main",0,17,17,17,231.569745121466,231.569745121466,231.569745121466,231.569745121466,231.569745121466,"[0.04375]","[-0.0171875]","[1]","[0]","[0]","[2.988595270551741]","['word_3']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
16,19,"Tume","Umat","Maut","Taum","Muta","word_3","main",0,18,18,18,236.044697148784,236.044697148784,236.044697148784,236.044697148784,236.044697148784,"[0.0265625]","[0.0109375]","[1]","[0]","[0]","[3.6898788518155925]","['word_3']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
17,20,"Tuhl","Tuhl","Lest","Dall","Lid","word_5","main",0,19,19,19,241.221281066828,241.221281066828,241.221281066828,241.221281066828,241.221281066828,"[0.0125]","[-0.3109375]","[1]","[0]","[0]","[8.232918644091114]","['word_5']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
18,21,"Adept","Padet","Edapt","Epatt","Taped","word_1","main",0,20,20,20,250.956671393127,250.956671393127,250.956671393127,250.956671393127,250.956671393127,"[0.025]","[-0.0015625]","[1]","[0]","[0]","[11.03706705471268]","['word_3']",NA,0,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
19,22,"Spirine","Saprin","Parsin","Purin","Asprint","word_4","main",0,21,21,21,263.464109532069,263.464109532069,263.464109532069,263.464109532069,263.464109532069,"[0.0265625]","[-0.1609375]","[1]","[0]","[0]","[13.091342713742051]","['word_4']",NA,1,NA,102,"2022-12-19_11h00.06.319","SAW","2022.2.4",59.8743910191354,NA
