block,trial_n,x,y
1,1,599.900024414062,503.399993896484
1,2,589,548.5
1,3,623.599975585938,467.700012207031
1,4,627,480.5
1,5,782.799987792969,412.100006103516
1,6,624.5,511.100006103516
1,7,618.099975585938,560.900024414062
1,8,636.799987792969,549.700012207031
1,9,616,700.099975585938
1,10,635.400024414062,517.799987792969
1,11,633.200012207031,507.5
1,12,637,434.200012207031
1,13,1265.69995117188,612.599975585938
1,14,613.299987792969,569
1,15,645.200012207031,435.799987792969
1,16,674.099975585938,414.200012207031
1,17,713.099975585938,376.399993896484
1,18,639.599975585938,543.099975585938
1,19,733.599975585938,472.100006103516
1,20,641.400024414062,680.299987792969
1,21,646.900024414062,463.399993896484
1,22,613.799987792969,473.899993896484
1,23,649.799987792969,506.5
1,24,672.900024414062,761.700012207031
1,25,950.099975585938,883
1,26,635.099975585938,510.399993896484
1,27,1227.30004882812,460.100006103516
1,28,672.900024414062,420.200012207031
1,29,1193.59997558594,733.599975585938
1,30,885.799987792969,673.400024414062
1,31,977.299987792969,786.5
1,32,860,440.700012207031
1,33,881.700012207031,378.100006103516
1,34,1112.90002441406,838.200012207031
1,35,634.799987792969,575.799987792969
1,36,688.200012207031,760.700012207031
1,37,630.299987792969,652
1,38,601.200012207031,564.700012207031
1,39,1110.5,844.299987792969
1,40,979.200012207031,885.099975585938
1,41,803.5,861.299987792969
1,42,1242.40002441406,562.799987792969
1,43,622.5,534.200012207031
1,44,1037,851.5
1,45,654,513
1,46,767.599975585938,464
1,47,661.400024414062,524
1,48,945.599975585938,212.100006103516
1,49,1276.90002441406,588.299987792969
1,50,634.700012207031,568.5
1,51,NaN,NaN
1,52,NaN,NaN
1,53,763.599975585938,351.5
1,54,677.700012207031,451.700012207031
1,55,1184.19995117188,411.200012207031
1,56,664,459.399993896484
1,57,1132.40002441406,844.200012207031
1,58,1182.19995117188,785.700012207031
1,59,630.200012207031,523.700012207031
1,60,660,734.299987792969
1,61,1248.40002441406,425.600006103516
1,62,669.400024414062,598.599975585938
1,63,1225.59997558594,427.799987792969
1,64,914,701.299987792969
1,65,1267.09997558594,531.099975585938
1,66,829.5,481
1,67,625.200012207031,640
1,68,765.700012207031,317.399993896484
1,69,960.799987792969,426.399993896484
1,70,1069.09997558594,847.400024414062
1,71,NaN,NaN
1,72,743.599975585938,807
1,73,809.900024414062,506.5
1,74,995,758.099975585938
1,75,1264.30004882812,507.600006103516
1,76,652,406.799987792969
1,77,645,458.700012207031
1,78,959.5,598
1,79,616.900024414062,463.799987792969
1,80,643.5,369.899993896484
1,81,612.200012207031,493
1,82,1179,644.200012207031
1,83,872,422
1,84,618.299987792969,519.599975585938
1,85,616,596
1,86,618.599975585938,524.5
1,87,616.400024414062,509.299987792969
1,88,1193.59997558594,404.399993896484
1,89,770.599975585938,651.900024414062
1,90,1039.69995117188,597.700012207031
1,91,773.599975585938,840
1,92,1230.5,434.100006103516
1,93,624.700012207031,470.5
1,94,974.099975585938,423.600006103516
1,95,918.700012207031,210.300003051758
1,96,1222.90002441406,355.700012207031
1,97,872,454.299987792969
1,98,601.099975585938,587.599975585938
1,99,714,481.899993896484
1,100,835.200012207031,561.900024414062
2,101,928.400024414062,255.199996948242
2,102,965.799987792969,203.600006103516
2,103,811,220.300003051758
2,104,1038.80004882812,215.5
2,105,888.700012207031,213.899993896484
2,106,829.799987792969,242.5
2,107,1007.90002441406,179.5
2,108,987.200012207031,208
2,109,995.5,205.899993896484
2,110,1056.80004882812,213.600006103516
2,111,1023.59997558594,199.5
2,112,1027.09997558594,208.399993896484
2,113,1014.29998779297,336
2,114,969.400024414062,196.699996948242
2,115,862.599975585938,712.200012207031
2,116,NaN,NaN
2,117,974,212.800003051758
2,118,530.099975585938,473.399993896484
2,119,893.5,224.899993896484
2,120,896.700012207031,250.899993896484
2,121,1126.59997558594,228.600006103516
2,122,1132.40002441406,232.100006103516
2,123,1080.19995117188,223.699996948242
2,124,1064.30004882812,240.899993896484
2,125,1100.5,509
2,126,896.400024414062,179.100006103516
2,127,1109.59997558594,235.199996948242
2,128,1101.90002441406,233.800003051758
2,129,539.200012207031,752.299987792969
2,130,677.299987792969,331.799987792969
2,131,NaN,NaN
2,132,1145.90002441406,260.700012207031
2,133,542.799987792969,639.200012207031
2,134,998.099975585938,529
2,135,937.400024414062,323.299987792969
2,136,918.700012207031,227.199996948242
2,137,NaN,NaN
2,138,1072.19995117188,240.5
2,139,NaN,NaN
2,140,527,405.399993896484
2,141,650,465.899993896484
2,142,1064.19995117188,215
2,143,NaN,NaN
2,144,884.200012207031,249.699996948242
2,145,934.200012207031,490.5
2,146,653.599975585938,869.700012207031
2,147,911,180.5
2,148,509,396.399993896484
2,149,957.799987792969,462.799987792969
2,150,1059.09997558594,214.600006103516
2,151,921.099975585938,287.700012207031
2,152,1071.59997558594,448.700012207031
2,153,515.299987792969,605.599975585938
2,154,895.799987792969,216
2,155,544,523.299987792969
2,156,691.200012207031,574.900024414062
2,157,836.599975585938,208.399993896484
2,158,938.400024414062,861.5
2,159,1148.59997558594,861.900024414062
2,160,NaN,NaN
2,161,1026.19995117188,261.200012207031
2,162,905.799987792969,280.399993896484
2,163,925.299987792969,213.800003051758
2,164,778.400024414062,313.799987792969
2,165,660.200012207031,424.5
2,166,NaN,NaN
2,167,1010.70001220703,176.600006103516
2,168,691.400024414062,342.299987792969
2,169,576.400024414062,714.799987792969
2,170,NaN,NaN
2,171,NaN,NaN
2,172,555.900024414062,700.599975585938
2,173,1003.59997558594,223.600006103516
2,174,1154.5,296.299987792969
2,175,1150,284.399993896484
2,176,NaN,NaN
2,177,634.799987792969,335.5
2,178,1114.40002441406,236.699996948242
2,179,965.299987792969,245.800003051758
2,180,653,343.600006103516
2,181,985.599975585938,208.699996948242
2,182,551.099975585938,381.799987792969
2,183,901.599975585938,198.199996948242
2,184,903,191.100006103516
2,185,998.5,181.100006103516
2,186,560.799987792969,737.599975585938
2,187,861.900024414062,210.399993896484
2,188,982.900024414062,174.199996948242
2,189,592,443.200012207031
2,190,987.200012207031,205.100006103516
2,191,521.799987792969,522
2,192,NaN,NaN
2,193,795.200012207031,233.899993896484
2,194,589.700012207031,647.799987792969
2,195,599.900024414062,376.700012207031
2,196,1019.70001220703,221.699996948242
2,197,1024.80004882812,174.800003051758
2,198,545.400024414062,426.200012207031
2,199,1212.40002441406,419.899993896484
2,200,926.5,167.899993896484
