block,trial_n,x,y
1,1,NaN,NaN
1,2,NaN,NaN
1,3,NaN,NaN
1,4,NaN,NaN
1,5,NaN,NaN
1,6,NaN,NaN
1,7,NaN,NaN
1,8,NaN,NaN
1,9,NaN,NaN
1,10,NaN,NaN
1,11,NaN,NaN
1,12,NaN,NaN
1,13,NaN,NaN
1,14,NaN,NaN
1,15,NaN,NaN
1,16,NaN,NaN
1,17,NaN,NaN
1,18,NaN,NaN
1,19,NaN,NaN
1,20,NaN,NaN
1,21,NaN,NaN
1,22,1072.69995117188,436.100006103516
1,23,727.400024414062,481.100006103516
1,24,NaN,NaN
1,25,886.099975585938,510.299987792969
1,26,NaN,NaN
1,27,NaN,NaN
1,28,NaN,NaN
1,29,NaN,NaN
1,30,NaN,NaN
1,31,NaN,NaN
1,32,NaN,NaN
1,33,NaN,NaN
1,34,923.5,859.400024414062
1,35,NaN,NaN
1,36,NaN,NaN
1,37,NaN,NaN
1,38,NaN,NaN
1,39,976.400024414062,461.399993896484
1,40,923.200012207031,707.400024414062
1,41,NaN,NaN
1,42,NaN,NaN
1,43,NaN,NaN
1,44,1009.09997558594,525
1,45,NaN,NaN
1,46,1092.19995117188,745.799987792969
1,47,1052.59997558594,716.599975585938
1,48,1022.29998779297,829.400024414062
1,49,1165.30004882812,449.600006103516
1,50,978.799987792969,569.299987792969
1,51,1215.90002441406,516.700012207031
1,52,1180.19995117188,402.200012207031
1,53,959.599975585938,342
1,54,NaN,NaN
1,55,NaN,NaN
1,56,1253.19995117188,569
1,57,1075.19995117188,447.799987792969
1,58,1209.5,521.900024414062
1,59,701.200012207031,559
1,60,829.400024414062,417.899993896484
1,61,NaN,NaN
1,62,1172,503
1,63,799.900024414062,577.299987792969
1,64,1200.40002441406,377.200012207031
1,65,1239.40002441406,497.100006103516
1,66,793.299987792969,493.100006103516
1,67,NaN,NaN
1,68,1263,382
1,69,1139.80004882812,440.700012207031
1,70,1146.30004882812,438.700012207031
1,71,1353.19995117188,522.700012207031
1,72,1042.09997558594,726.5
1,73,1090.80004882812,846.599975585938
1,74,1018.20001220703,489.299987792969
1,75,1291.5,489.100006103516
1,76,1111.19995117188,306.100006103516
1,77,NaN,NaN
1,78,1227,377.799987792969
1,79,1072.30004882812,526.200012207031
1,80,1002.09997558594,585.799987792969
1,81,761.599975585938,425.600006103516
1,82,1085.59997558594,490.100006103516
1,83,1053,527
1,84,1046.19995117188,846.099975585938
1,85,NaN,NaN
1,86,1105.59997558594,-57.2000007629395
1,87,NaN,NaN
1,88,NaN,NaN
1,89,NaN,NaN
1,90,NaN,NaN
1,91,NaN,NaN
1,92,NaN,NaN
1,93,NaN,NaN
1,94,NaN,NaN
1,95,NaN,NaN
1,96,NaN,NaN
1,97,NaN,NaN
1,98,NaN,NaN
2,99,NaN,NaN
2,100,NaN,NaN
2,101,NaN,NaN
2,102,NaN,NaN
2,103,NaN,NaN
2,104,NaN,NaN
2,105,NaN,NaN
2,106,NaN,NaN
2,107,NaN,NaN
2,108,NaN,NaN
2,109,NaN,NaN
2,110,876.200012207031,234.600006103516
2,111,NaN,NaN
2,112,878.299987792969,211.300003051758
2,113,994.299987792969,270
2,114,909.299987792969,271.299987792969
2,115,831.799987792969,244.699996948242
2,116,860.599975585938,258.399993896484
2,117,NaN,NaN
2,118,899.900024414062,297.100006103516
2,119,961.299987792969,300.299987792969
2,120,NaN,NaN
2,121,906.299987792969,472.299987792969
2,122,1040.30004882812,324.799987792969
2,123,1019.20001220703,308.899993896484
2,124,888.299987792969,277.799987792969
2,125,863.5,386.299987792969
2,126,1107,339.200012207031
2,127,NaN,NaN
2,128,1119.80004882812,339.399993896484
2,129,766.700012207031,488.799987792969
2,130,845,281.700012207031
2,131,732.900024414062,541.400024414062
2,132,47.0999984741211,311.799987792969
2,133,889.400024414062,284.600006103516
2,134,NaN,NaN
2,135,1285.30004882812,478.899993896484
2,136,1286.69995117188,476.399993896484
2,137,928,251.100006103516
2,138,907.900024414062,350.899993896484
2,139,987.200012207031,290.100006103516
2,140,697.5,649.599975585938
2,141,NaN,NaN
2,142,909,282.299987792969
2,143,NaN,NaN
2,144,1137.5,424.700012207031
2,145,1007.5,237.899993896484
2,146,896,381.5
2,147,NaN,NaN
2,148,837.900024414062,433.5
2,149,1292.90002441406,444.600006103516
2,150,NaN,NaN
2,151,NaN,NaN
2,152,830.5,766.799987792969
2,153,NaN,NaN
2,154,972.700012207031,479.899993896484
2,155,812.799987792969,362.700012207031
2,156,712.400024414062,573.200012207031
2,157,782.799987792969,505.5
2,158,788.5,463
2,159,792.900024414062,587.200012207031
2,160,760.599975585938,542.299987792969
2,161,712.5,565.900024414062
2,162,843.799987792969,578.5
2,163,785.599975585938,357.399993896484
2,164,677.5,637.5
2,165,883.900024414062,448.299987792969
2,166,885.700012207031,668
2,167,983.799987792969,199.300003051758
2,168,NaN,NaN
2,169,800.099975585938,466.5
2,170,893.099975585938,508.700012207031
2,171,874.5,583.5
2,172,862.799987792969,568.799987792969
2,173,NaN,NaN
2,174,NaN,NaN
2,175,NaN,NaN
2,176,NaN,NaN
2,177,752.400024414062,568.299987792969
2,178,NaN,NaN
2,179,954.799987792969,699.900024414062
2,180,931.5,477
2,181,848.099975585938,503
