block,trial_n,x,y
1,1,NaN,NaN
1,2,NaN,NaN
1,3,NaN,NaN
1,4,NaN,NaN
1,5,NaN,NaN
1,6,NaN,NaN
1,7,NaN,NaN
1,8,NaN,NaN
1,9,NaN,NaN
1,10,NaN,NaN
1,11,NaN,NaN
1,12,NaN,NaN
1,13,NaN,NaN
1,14,NaN,NaN
1,15,NaN,NaN
1,16,NaN,NaN
1,17,NaN,NaN
1,18,NaN,NaN
1,19,NaN,NaN
1,20,NaN,NaN
1,21,NaN,NaN
1,22,NaN,NaN
1,23,NaN,NaN
1,24,NaN,NaN
1,25,NaN,NaN
1,26,NaN,NaN
1,27,NaN,NaN
1,28,NaN,NaN
1,29,NaN,NaN
1,30,NaN,NaN
1,31,707.900024414062,674.700012207031
1,32,NaN,NaN
1,33,685.900024414062,521.099975585938
1,34,NaN,NaN
1,35,715.900024414062,306.899993896484
1,36,736.099975585938,250.800003051758
1,37,NaN,NaN
1,38,654.700012207031,484.899993896484
1,39,NaN,NaN
1,40,NaN,NaN
1,41,867.400024414062,382.299987792969
1,42,757.099975585938,314.600006103516
1,43,NaN,NaN
1,44,NaN,NaN
1,45,755.400024414062,333.600006103516
1,46,NaN,NaN
1,47,739.5,551.799987792969
1,48,NaN,NaN
1,49,798.299987792969,538.700012207031
1,50,NaN,NaN
1,51,839.200012207031,540.299987792969
1,52,NaN,NaN
1,53,762.400024414062,444.5
1,54,NaN,NaN
1,55,905.900024414062,487.5
1,56,NaN,NaN
1,57,NaN,NaN
1,58,894.5,439.600006103516
1,59,NaN,NaN
1,60,884.5,787.099975585938
1,61,NaN,NaN
1,62,817.700012207031,548
1,63,823.299987792969,638.700012207031
1,64,794,557.400024414062
1,65,820,632.299987792969
1,66,783.299987792969,549
1,67,957.299987792969,502.600006103516
1,68,NaN,NaN
1,69,734.700012207031,504.5
1,70,922.900024414062,719.400024414062
1,71,1082.90002441406,558.799987792969
1,72,NaN,NaN
1,73,NaN,NaN
1,74,739.900024414062,425.799987792969
1,75,528.900024414062,737.700012207031
1,76,877.799987792969,689.700012207031
1,77,931.599975585938,636.700012207031
1,78,877.400024414062,718.299987792969
1,79,NaN,NaN
1,80,914.099975585938,704.299987792969
1,81,885.200012207031,734.599975585938
1,82,948.400024414062,809.099975585938
1,83,1051.59997558594,533.200012207031
1,84,NaN,NaN
1,85,992.799987792969,703.5
1,86,962.299987792969,866.5
1,87,NaN,NaN
1,88,NaN,NaN
1,89,NaN,NaN
1,90,NaN,NaN
1,91,967.900024414062,827.099975585938
1,92,865.799987792969,747.299987792969
1,93,886,774.799987792969
1,94,NaN,NaN
1,95,857.299987792969,685.799987792969
1,96,921.900024414062,645.099975585938
1,97,876,742.599975585938
1,98,865.5,709.799987792969
1,99,921.5,773.599975585938
1,100,1034.69995117188,577.700012207031
1,101,922.299987792969,793.599975585938
1,102,916.700012207031,780.099975585938
1,103,966.299987792969,766.5
2,104,827.5,649.599975585938
2,105,812.900024414062,669.200012207031
2,106,899.299987792969,657.799987792969
2,107,NaN,NaN
2,108,934,728.099975585938
2,109,NaN,NaN
2,110,880.799987792969,662.5
2,111,NaN,NaN
2,112,NaN,NaN
2,113,835,619.799987792969
2,114,673.700012207031,683.599975585938
2,115,709.799987792969,355.299987792969
2,116,1025.69995117188,283.799987792969
2,117,916.799987792969,825.299987792969
2,118,NaN,NaN
2,119,1072.90002441406,685
2,120,960.299987792969,405.899993896484
2,121,938.099975585938,375
2,122,1007.79998779297,371.5
2,123,1064.80004882812,432.799987792969
2,124,1230.69995117188,571.299987792969
2,125,952.5,595.200012207031
2,126,980.799987792969,306.399993896484
2,127,1039,458.799987792969
2,128,802.200012207031,468.399993896484
2,129,990.200012207031,516
2,130,914.599975585938,355.399993896484
2,131,NaN,NaN
2,132,930.299987792969,801.5
2,133,828.400024414062,388.700012207031
2,134,1142.30004882812,511.299987792969
2,135,875.700012207031,486.399993896484
2,136,792.099975585938,431.100006103516
2,137,1207.59997558594,529.599975585938
2,138,1188.09997558594,518.5
2,139,1145.69995117188,662.700012207031
2,140,NaN,NaN
2,141,792.799987792969,444.799987792969
2,142,921.799987792969,473.600006103516
2,143,917.099975585938,373.799987792969
2,144,930.599975585938,349.299987792969
2,145,1133,404.600006103516
2,146,1083.59997558594,368.399993896484
2,147,620.700012207031,254.300003051758
2,148,866.400024414062,308.600006103516
2,149,1168.19995117188,521.5
2,150,881,450.5
2,151,887.700012207031,392.299987792969
2,152,931.599975585938,469.299987792969
2,153,955.299987792969,480.399993896484
2,154,1178.40002441406,521.599975585938
2,155,932.200012207031,483
2,156,967.200012207031,750.5
2,157,1132,553.5
2,158,1160.80004882812,553.700012207031
2,159,953.900024414062,518.5
2,160,1107.69995117188,537.099975585938
2,161,1067.30004882812,542.900024414062
2,162,NaN,NaN
2,163,1045.5,530.799987792969
2,164,818.5,327.100006103516
2,165,788.200012207031,326.899993896484
2,166,NaN,NaN
2,167,1005.90002441406,279.200012207031
2,168,NaN,NaN
2,169,996.900024414062,277.200012207031
2,170,963,224.699996948242
2,171,1022.29998779297,295.700012207031
2,172,993.700012207031,258.899993896484
2,173,862.799987792969,595.799987792969
2,174,979.5,236.300003051758
2,175,1078.5,246.800003051758
2,176,838.400024414062,377
